,ticker,name,date added,cik
0,MMM,3M,1957-03-04,66740
1,AOS,A. O. Smith,2017-07-26,91142
2,ABT,Abbott,1957-03-04,1800
3,ABBV,AbbVie,2012-12-31,1551152
4,ACN,Accenture,2011-07-06,1467373
5,ADBE,Adobe Inc.,1997-05-05,796343
6,AMD,Advanced Micro Devices,2017-03-20,2488
7,AES,AES Corporation,1998-10-02,874761
8,AFL,Aflac,1999-05-28,4977
9,A,Agilent Technologies,2000-06-05,1090872
10,APD,Air Products and Chemicals,1985-04-30,2969
11,ABNB,Airbnb,2023-09-18,1559720
12,AKAM,Akamai,2007-07-12,1086222
13,ALB,Albemarle Corporation,2016-07-01,915913
14,ARE,Alexandria Real Estate Equities,2017-03-20,1035443
15,ALGN,Align Technology,2017-06-19,1097149
16,ALLE,Allegion,2013-12-02,1579241
17,LNT,Alliant Energy,2016-07-01,352541
18,ALL,Allstate,1995-07-13,899051
19,GOOGL,Alphabet Inc. (Class A),2014-04-03,1652044
20,GOOG,Alphabet Inc. (Class C),2006-04-03,1652044
21,MO,Altria,1957-03-04,764180
22,AMZN,Amazon,2005-11-18,1018724
23,AMCR,Amcor,2019-06-07,1748790
24,AEE,Ameren,1991-09-19,1002910
25,AAL,American Airlines Group,2015-03-23,6201
26,AEP,American Electric Power,1957-03-04,4904
27,AXP,American Express,1976-06-30,4962
28,AIG,American International Group,1980-03-31,5272
29,AMT,American Tower,2007-11-19,1053507
30,AWK,American Water Works,2016-03-04,1410636
31,AMP,Ameriprise Financial,2005-10-03,820027
32,AME,Ametek,2013-09-23,1037868
33,AMGN,Amgen,1992-01-02,318154
34,APH,Amphenol,2008-09-30,820313
35,ADI,Analog Devices,1999-10-12,6281
36,ANSS,Ansys,2017-06-19,1013462
37,AON,Aon,1996-04-23,315293
38,APA,APA Corporation,1997-07-28,1841666
39,AAPL,Apple Inc.,1982-11-30,320193
40,AMAT,Applied Materials,1995-03-16,6951
41,APTV,Aptiv,2012-12-24,1521332
42,ACGL,Arch Capital Group,2022-11-01,947484
43,ADM,Archer-Daniels-Midland,1957-03-04,7084
44,ANET,Arista Networks,2018-08-28,1596532
45,AJG,Arthur J. Gallagher & Co.,2016-05-31,354190
46,AIZ,Assurant,2007-04-10,1267238
47,T,AT&T,1983-11-30,732717
48,ATO,Atmos Energy,2019-02-15,731802
49,ADSK,Autodesk,1989-12-01,769397
50,ADP,Automatic Data Processing,1981-03-31,8670
51,AZO,AutoZone,1997-01-02,866787
52,AVB,AvalonBay Communities,2007-01-10,915912
53,AVY,Avery Dennison,1987-12-31,8818
